Dataset Intensity Statistics Report
Source: /data/hwh_data_folder/dataset/train
Config: FreqRes=5kHz, Overlap=0.5
--------------------------------------------------
File_ID    | Min_dB          | Max_dB         
584        | -124.52         | -1.87          
585        | -119.09         | -0.39          
586        | -79.35          | 2.48           
587        | -109.02         | 7.34           
588        | -68.89          | 27.53          
589        | -75.66          | 18.96          
590        | -119.76         | -5.99          
591        | -78.76          | 22.69          
592        | -130.72         | -3.05          
593        | -118.06         | 7.63           
594        | -99.58          | 9.95           
595        | -114.07         | 0.55           
596        | -95.09          | 0.27           
597        | -105.01         | 14.01          
598        | -104.14         | 3.30           
599        | -240.00         | 7.03           
600        | -110.30         | 3.94           
601        | -119.67         | -5.97          
602        | -111.72         | 8.81           
603        | -100.41         | -5.31          
604        | -94.31          | -3.55          
605        | -95.40          | 21.64          
606        | -112.67         | 4.02           
607        | -95.82          | 13.93          
608        | -79.66          | 20.07          
609        | -91.26          | 11.21          
610        | -112.05         | -8.36          
611        | -115.19         | 1.82           
612        | -113.83         | 1.52           
613        | -103.93         | 12.13          
614        | -102.37         | 15.57          
615        | -95.47          | 13.39          
616        | -113.57         | -5.30          
617        | -90.72          | 6.76           
618        | -114.64         | 7.19           
619        | -106.50         | -4.99          
620        | -101.89         | 9.54           
621        | -89.75          | 6.08           
622        | -115.50         | 10.52          
623        | -240.00         | 2.32           
624        | -99.62          | 7.77           
625        | -105.08         | 10.28          
626        | -109.30         | -7.55          
627        | -97.42          | -3.50          
628        | -90.24          | 3.57           
629        | -94.40          | -7.55          
630        | -116.55         | -1.79          
631        | -104.93         | -11.31         
632        | -70.80          | 12.56          
633        | -125.99         | 4.98           
634        | -77.23          | 11.89          
635        | -109.18         | -2.86          
636        | -94.78          | 12.96          
637        | -108.18         | 14.34          
638        | -80.55          | 22.93          
639        | -118.90         | -7.22          
640        | -135.81         | 1.57           
641        | -118.60         | 4.19           
642        | -100.27         | 16.18          
643        | -98.47          | 15.37          
644        | -105.16         | 8.05           
645        | -105.60         | 6.56           
646        | -90.23          | -10.55         
647        | -84.15          | 16.10          
648        | -240.00         | 6.46           
649        | -121.45         | 5.20           
650        | -122.42         | -10.91         
651        | -115.83         | 0.85           
652        | -98.61          | -2.40          
653        | -110.40         | 1.36           
654        | -100.99         | 9.91           
655        | -107.77         | 6.65           
656        | -113.79         | -5.53          
657        | -70.66          | 14.22          
658        | -100.20         | 5.04           
659        | -89.94          | 19.58          
660        | -88.40          | 24.49          
661        | -94.28          | 15.43          
662        | -117.07         | -8.37          
663        | -101.98         | 9.90           
664        | -117.16         | 6.31           
665        | -93.18          | 10.01          
666        | -81.45          | 16.26          
667        | -127.00         | 9.07           
668        | -116.25         | 8.24           
669        | -105.13         | 2.44           
670        | -112.55         | 6.33           
671        | -94.89          | -2.47          
672        | -107.83         | 11.61          
673        | -111.16         | 6.44           
674        | -100.56         | 2.71           
675        | -94.94          | 2.55           
676        | -108.58         | 5.67           
677        | -114.00         | 8.19           
678        | -117.07         | 10.43          
679        | -102.04         | -5.99          
680        | -109.68         | 8.30           
681        | -93.93          | 9.92           
682        | -94.73          | 18.36          
683        | -81.48          | 9.57           
684        | -125.69         | 0.97           
685        | -108.13         | -4.98          
686        | -75.99          | 25.85          
687        | -107.11         | 5.04           
688        | -86.04          | 0.08           
689        | -102.07         | 7.73           
690        | -107.17         | 10.80          
691        | -108.47         | 11.75          
692        | -98.73          | 13.14          
693        | -97.29          | -0.60          
694        | -121.97         | 0.93           
695        | -114.14         | 8.50           
696        | -108.46         | -14.28         
697        | -119.83         | -9.77          
698        | -122.47         | -7.68          
699        | -122.81         | 2.66           
700        | -110.50         | 2.62           
701        | -100.65         | 11.42          
702        | -125.27         | 10.13          
703        | -102.55         | 0.05           
704        | -114.78         | -2.73          
705        | -82.43          | 7.07           
706        | -110.47         | 6.79           
707        | -93.10          | 25.40          
708        | -113.32         | 1.90           
709        | -90.34          | 14.51          
710        | -124.70         | 3.00           
711        | -88.61          | 16.21          
712        | -123.61         | 9.80           
713        | -100.94         | 16.59          
714        | -75.26          | 8.39           
715        | -111.36         | 7.85           
716        | -116.17         | 4.65           
717        | -240.00         | 9.14           
718        | -117.90         | 8.52           
719        | -108.02         | 8.88           
720        | -117.62         | -0.16          
721        | -106.04         | -8.97          
722        | -80.51          | 10.83          
723        | -95.61          | 8.44           
724        | -97.46          | 10.46          
725        | -80.92          | 5.32           
726        | -114.01         | 7.12           
727        | -93.40          | 13.55          
728        | -104.74         | 8.83           
729        | -112.74         | 13.82          
730        | -90.17          | -10.31         
731        | -80.23          | 10.46          
732        | -98.28          | 8.75           
733        | -108.51         | 11.75          
734        | -113.47         | 9.34           
735        | -113.49         | -14.09         
736        | -110.44         | 6.41           
737        | -109.76         | -2.27          
738        | -74.70          | 26.11          
739        | -100.93         | 9.88           
740        | -107.16         | 4.77           
741        | -87.69          | 16.01          
742        | -109.94         | -0.13          
